county_name,state_fips,county_fips,year,annual_pm25,full_fips,asthma_prevalence,median_household_income,poverty_percent
"Los Angeles County, CA",06,037,2018,11.924488725025943,06037,,64251,12.2
"Los Angeles County, CA",06,037,2019,10.113095999079698,06037,,68044,11.2
"Los Angeles County, CA",06,037,2020,13.43545007335218,06037,,71358,10.5
"Los Angeles County, CA",06,037,2021,12.161321480997936,06037,,76367,10.2
"Los Angeles County, CA",06,037,2022,10.929974516663464,06037,,83411,10.0
"Los Angeles County, CA",06,037,2023,10.031450973691598,06037,9.1,87760,9.9
"Los Angeles County, CA",06,037,2023,10.031450973691598,06037,9.0,87760,9.9
"Harris County, TX",48,201,2018,9.709892396952252,48201,,60146,13.4
"Harris County, TX",48,201,2019,9.400986047029107,48201,,61705,13.0
"Harris County, TX",48,201,2020,9.932420162130702,48201,,63022,12.7
"Harris County, TX",48,201,2021,9.95527166864662,48201,,65788,12.6
"Harris County, TX",48,201,2022,9.89244579683327,48201,,70789,12.8
"Harris County, TX",48,201,2023,10.758265255260833,48201,9.2,73104,12.8
"Harris County, TX",48,201,2023,10.758265255260833,48201,9.2,73104,12.8
"Cook County, IL",17,031,2018,9.737539529782904,17031,,62088,11.4
"Cook County, IL",17,031,2019,9.41914225843308,17031,,64660,10.7
"Cook County, IL",17,031,2020,8.99822078611676,17031,,67886,10.1
"Cook County, IL",17,031,2021,9.646750466587006,17031,,72121,9.9
"Cook County, IL",17,031,2022,8.773347548416776,17031,,78304,9.8
"Cook County, IL",17,031,2023,10.932002493357578,17031,9.8,81797,9.8
"Cook County, IL",17,031,2023,10.932002493357578,17031,9.8,81797,9.8
"Maricopa County, AZ",04,013,2018,8.617241091148848,04013,,61606,10.6
"Maricopa County, AZ",04,013,2019,6.882506297444843,04013,,64468,9.9
"Maricopa County, AZ",04,013,2020,9.086344915836865,04013,,67799,9.1
"Maricopa County, AZ",04,013,2021,8.559275553960411,04013,,72944,8.5
"Maricopa County, AZ",04,013,2022,8.340767767617367,04013,,80675,8.1
"Maricopa County, AZ",04,013,2023,7.997693528609818,04013,10.1,85518,7.8
"Maricopa County, AZ",04,013,2023,7.997693528609818,04013,10.0,85518,7.8
